S. No,Season,Home \ Away,S.No. 1,S.No. 2,S.No. 3,S.No. 4,S.No. 5,S.No. 6,S.No. 7,S.No. 8,S.No. 9,S.No. 10,S.No. 11,S.No. 12,S.No. 13,S.No. 14,S.No. 15,S.No. 16,S.No. 17,S.No. 18,S.No. 19,S.No. 20,Pos,Pld,W,D,L
1,2017-18,Alavés,,3–1,0–1,0–2,2–1,1–0,1–2,1–0,2–0,1–2,2–0,2–2,1–0,1–0,1–3,1–2,0–2,1–0,1–2,0–3,14,38,15,2,21
2,2017-18,Athletic Bilbao,2–0,,1–2,0–2,1–1,2–3,1–1,0–1,0–0,2–0,0–0,2–0,1–3,2–1,2–0,0–0,0–0,1–0,1–1,1–1,16,38,10,13,15
3,2017-18,Atlético Madrid,1–0,2–0,,1–1,3–0,1–0,2–2,0–2,2–0,1–1,3–0,4–0,3–0,1–0,0–0,0–0,2–1,2–0,1–0,1–1,2,38,23,10,5
4,2017-18,Barcelona,2–1,2–0,1–0,,2–2,4–0,6–1,5–0,0–0,6–1,3–0,3–1,3–0,2–0,2–0,2–2,1–0,2–1,2–1,5–1,1,38,28,9,1
5,2017-18,Celta Vigo,1–0,3–1,0–1,2–2,,1–1,2–0,2–2,1–1,3–3,2–1,1–0,4–2,0–0,3–2,2–2,2–3,4–0,1–1,0–1,13,38,13,10,15
6,2017-18,Deportivo La Coruña,1–0,2–2,0–1,2–4,1–3,,1–1,0–0,2–1,1–2,1–1,1–0,2–2,3–2,0–1,0–3,2–4,0–0,1–2,2–4,18,38,6,11,21
7,2017-18,Eibar,0–1,0–1,0–1,0–2,0–4,0–0,,3–1,0–1,4–1,1–0,1–0,2–2,1–1,5–0,1–2,0–0,5–1,2–1,1–0,9,38,14,9,15
8,2017-18,Espanyol,0–0,1–1,1–0,1–1,2–1,4–1,0–1,,1–0,0–1,1–1,0–1,0–0,4–1,1–0,1–0,2–1,0–3,0–2,1–1,11,38,12,13,13
9,2017-18,Getafe,4–1,2–2,0–1,1–2,3–0,3–0,0–0,1–0,,1–1,2–0,0–0,0–1,1–0,0–1,1–2,2–1,0–1,1–0,4–0,8,38,15,10,13
10,2017-18,Girona,2–3,2–0,2–2,0–3,1–0,2–0,1–4,0–2,1–0,,6–0,3–0,1–1,1–0,0–1,2–1,1–1,0–1,0–1,1–2,10,38,14,9,15
